filterType;filterIrlMake;filterLocation;img;GTA Make;GTA Model;Type;Real Make;Real Model;Storage
AC Shelby;Sports Classic;Nightclub lvl 3;Mamba;Declasse;Mamba;Sports Classic;AC Shelby;Cobra;Nightclub lvl 3
Alfa Romeo Giulia;Sports;Office 2A;Komoda;Lampadati;Komoda;Sports;Alfa Romeo Giulia;Giulia;Office 2A
Ariel;Off-Road;Penthouse;Vagrant;Maxwell;Vagrant;Off-Road;Ariel;Nomad;Penthouse
Audi;Sports;Office 1C;Omnis;Obey;Omnis;Sports;Audi;Quattro;Office 1C
Audi;SUV;Office 1C;Rocoto;Obey;Rocoto;SUV;Audi;Q5;Office 1C
Bentley;Coupes;Office 3A;bentlyshortboi;Enus;Cognoscenti Cabrio;Coupes;Bentley;Continental GTC;Office 3A
Bentley;Sedan;Office 3A;bentlylongboy;Enus;Cognoscenti;Sedan;Bentley;Continental Flying Spur;Office 3A
Bentley;SUV;Office 3A;HuntleyS;Enus;Huntley S;SUV;Bentley;EXP 9 F;Office 3A
BMW;Coupes;Office 1A;Zion;Ubermacht;Zion;Coupes;BMW;6 Series E63;Office 1A
BMW;Coupes;Office 1A;Oricle;Ubermacht;Oracle;Coupes;BMW;6 Series Gran Coupé;Office 1A
BMW;Coupes;Office 1A;SentinalXS;Ubermacht;Sentinal XS;Coupes;BMW;M3 E92;Office 1A
BMW;Coupes;Office 1A;ZionCabrio;Ubermacht;Zion Cabrio;Coupes;BMW;M6 Convertible;Office 1A
BMW;Sports;Office 1A;SentinalClassic;Ubermacht;Sentinal Classic;Sports;BMW;M3 E30;Office 1A
Bugatti;Sports Classic;Penthouse;ztype;Truffade;Z-Type;Sports Classic;Bugatti;Type 57 Atlantic;Penthouse
Bugatti;Super;Penthouse;Adder;Truffade;Adder;Super;Bugatti;Veyron;Penthouse
Buick;Muscle;Nightclub lvl 2;Buccender;Albany;Buccender;Muscle;Buick;Riviera;Nightclub lvl 2
Cadillac;Muscle;Arcade;Lurcher;Albany;Lurcher;Muscle;Cadillac;Funeral Coach;Arcade
Cadillac;Sports Classic;Nightclub lvl 3;Manhana;Albany;Manhana;Sports Classic;Cadillac;Eldorado;Nightclub lvl 3
Campagna;Sports;Arcade;Raptor;BF;Raptor;Sports;Campagna;T-Rex;Arcade
Chevrolet;Muscle;Nightclub lvl 2;Moonbeam;Declasse;Moonbeam;Muscle;Chevrolet;Astro;Nightclub lvl 2
Chevrolet;Muscle;Nightclub lvl 2;Vigero;Declasse;Vigero;Muscle;Chevrolet;Camaro;Nightclub lvl 2
Chevrolet;Muscle;Nightclub lvl 2;Tulip;Declasse;Tulip;Muscle;Chevrolet;Chevelle Malibu;Nightclub lvl 2
Chevrolet;Muscle;Nightclub lvl 2;VoodooCustom;Declasse;Voodoo Custom;Muscle;Chevrolet;Impala;Nightclub lvl 2
Chevrolet;Sports Classic;Nightclub lvl 2;CoquetteCalisc;Invetero;Coquette Calisc;Sports Classic;Chevrolet;Corvette C2;Nightclub lvl 2
Devel Motors;Super;Penthouse;Devel8;Principe;Deveste Eight;Super;Devel Motors;Devel Sixteen;Penthouse
Dodge;Muscle;3655 Wild Oats Dr;Dukes;Imponte;Dukes;Muscle;Dodge;Charger;3655 Wild Oats Dr
Dodge;Muscle;4401 ProCopio Dr;Ratloader;Bravado;Rat-loader;Muscle;Dodge;Power Wagon;4401 ProCopio Dr
Dodge;Super;Nightclub lvl 3;Banshee900RR;Bravado;Banshee 900 RR;Super;Dodge;Viper SR;Nightclub lvl 3
Ferrari;Sports Classic;Office 2C;TurismoClassic;Grotti;Turismo Classic;Sports Classic;Ferrari;F40;Office 2C
Ferrari;Sports;Office 2C;ItaliGTO;Grotti;Itali GTO;Sports;Ferrari;812 Superfast;Office 2C
Ferrari;Sports;Office 2C;Carbonizzare;Grotti;Carbonizzare;Sports;Ferrari;F12;Office 2C
Ferrari;Super;Office 2C;X80Proto;Grotti;X80 Proto;Super;Ferrari;F80;Office 2C
Ferrari;Super;Office 2C;TurismoR;Grotti;Turismo R;Super;Ferrari;LaFerrari;Office 2C
Ford;Muscle;Del Perro Hights 4;Clique;Vapid;Clique;Muscle;Ford;Coupe;Del Perro Hights 4
Ford;Muscle;Del Perro Hights 4;Dominator;Vapid;Dominator;Muscle;Ford;Mustang 5th Gen;Del Perro Hights 4
Ford;Sports Classic;Del Perro Hights 4;RetinueMkII;Vapid;Retinue MkII;Sports Classic;Ford;Escort Mk2;Del Perro Hights 4
Ford;Sports Classic;Del Perro Hights 4;RetinueMkIIRally;Vapid;Retinue MkII;Sports Classic;Ford;Escort Mk2 Rally;Del Perro Hights 4
Ford;Sports Classic;Del Perro Hights 4;Retinue;Vapid;Retinue;Sports Classic;Ford;Escort MkI;Del Perro Hights 4
Ford;Sports;Del Perro Hights 4;FlasgGT;Vapid;Flash GT;Sports;Ford;Focus RS RX (WRX);Del Perro Hights 4
Ford;Sports;Del Perro Hights 4;DriftTampa;Declasse;Drift Tampa;Sports;Ford;Mustang Hoonicorn RTR;Del Perro Hights 4
Ford;Super;Del Perro Hights 4;FMJ;Vapid;FMJ;Super;Ford;GT;Del Perro Hights 4
Ford;Off-Road;Del Perro Hights 4;TrophyTruck;Vapid;Trophy Truck;Off-Road;Ford;F-150 Baja;Del Perro Hights 4
Ford;Off-Road;Del Perro Hights 4;SandkingXL;Vapid;Sandking XL;Off-Road;Ford;Super Duty;Del Perro Hights 4
Holden;Sedan;Penthouse;Fugitive;Chevel;Fugitive;Sedan;Holden;Caprice;Penthouse
Honda;Compacts;3 Alta str;BlistaKanjo;Dinka;Blista Kanjo;Compacts;Honda;Civic Type R EK9;3 Alta str
Honda;Sports;3 Alta str;Sugoi;Dinka;Sugoi;Sports;Honda;Civic Type R FK8;3 Alta str
Honda;Sports;3 Alta str;BlistaCompact;Dinka;Blista Compact;Sports;Honda;CR-X 1st Gen;3 Alta str
Honda;Sports;3 Alta str;Jester;Dinka;Jester;Sports;Honda;NSX;3 Alta str
Hyundai ;Compacts;3655 Wild Oats Dr;Prairie;Bollokan;Prairie;Compacts;Hyundai ;Tiburon;3655 Wild Oats Dr
Jaguar;Coupes;Office 3B;F620;Ocelot;F620;Coupes;Jaguar;XK (X150);Office 3B
Jaguar;Sports Classic;Office 3B;Swinger;Ocelot;Swinger;Sports Classic;Jaguar;XJ13;Office 3B
Jaguar;Super;Office 3B;Penetrator;Ocelot;Penetrator;Super;Jaguar;XJ220;Office 3B
Lamborghini;Sports Classic;Office 2B;Torero;Pegassi;Torero;Sports Classic;Lamborghini;Countach;Office 2B
Lamborghini;Sports Classic;Office 2B;InfernusClassic;Pegassi;Infernus Classic;Sports Classic;Lamborghini;Diablo;Office 2B
Lamborghini;Sports Classic;Office 2B;Monroe;Pegassi;Monroe;Sports Classic;Lamborghini;Miura;Office 2B
Lamborghini;Super;Office 2B;Tempesta;Pegassi;Vacca;Super;Lamborghini;Gallardo;Office 2B
Lamborghini;Super;Office 2B;Reaper;Pegassi;Reaper;Super;Lamborghini;Huracán;Office 2B
Lamborghini;Super;Office 2B;Infernus;Pegassi;Infernus;Super;Lamborghini;Murciélago;Office 2B
Lamborghini;Super;Office 2B;Zentorno;Pegassi;Zentorno;Super;Lamborghini;Sesto Elemento;Office 2B
Land Rover;SUV;Office 3A;Baller;Gallivanter;Baller;SUV;Land Rover;Range Rover;Office 3A
Lexus;Super;Penthouse;ETR1;Emperor;ETR1;Super;Lexus;Vision Gran Turismo;Penthouse
Lincoln;Sedan;Arcade;RomeroHearse;Chariot;Romero Hearse;Sedan;Lincoln;Town Car Hearse;Arcade
Lotus;Sports;Office 3B;Locust;Ocelot;Locust;Sports;Lotus;3-Eleven;Office 3B
Maserati;Coupes;Office 2A;FelonGT;Lampadati;Felon GT;Coupes;Maserati;GranCabrio;Office 2A
Maserati;Coupes;Office 2A;Felon;Lampadati;Felon;Coupes;Maserati;Quattroporte;Office 2A
McLaren;Super;Office 3C;GP1;Progen;GP1;Super;McLaren;F1;Office 3C
Mercedes-Benz;Sports Classic;Office 1B;StirlingGT;Benefactor;Stirling GT;Sports Classic;Mercedes-Benz;300 SLR;Office 1B
Mercedes-Benz;Sports;Office 1B;Feltzer;Benefactor;Feltzer;Sports;Mercedes-Benz;SL65 AMG Black Series;Office 1B
Mercedes-Benz;Sports;Office 1B;Surano;Benefactor;Surano;Sports;Mercedes-Benz;SLS AMG Roadster;Office 1B
Mercedes-Benz;SUV;Office 1B;Dubsa;Benefactor;Dubtsa;SUV;Mercedes-Benz;G-Class 463;Office 1B
Mercedes-Benz;SUV;Office 1B;Serrano;Benefactor;Serrano;SUV;Mercedes-Benz;GLE;Office 1B
Mercedes-Benz;Off-Road;Office 1B;dubsta6x6;Benefactor;Dubsta 6x6;Off-Road;Mercedes-Benz;G63 AMG 6x6;Office 1B
Mini;Compacts;Office 3A;Issi;Weeny;Issi;Compacts;Mini;Mini Cooper;Office 3A
Mitsubishi;Sports;3655 Wild Oats Dr;PenumbraFF;Maibatsu;Penumbra FF;Sports;Mitsubishi;Eclipse 2G;3655 Wild Oats Dr
Mitsubishi;Sports;3655 Wild Oats Dr;Penumbra;Maibatsu;Penumbra;Sports;Mitsubishi;Eclipse 4G;3655 Wild Oats Dr
Mitsubishi;Sports;Greenwich Parkway;Kuruma;Karin;Kuruma;Sports;Mitsubishi;Lancer Evo X;Greenwich Parkway
Mitsubishi;Super;Greenwich Parkway;SultanRS;Karin;Sultan RS;Super;Mitsubishi;Lancer Evo V;Greenwich Parkway
Munster;Sports Classic;Arcade;Franken;Albany;Franken Stange;Sports Classic;Munster;Koach;Arcade
Nissan;Sports;Greenwich Parkway;ElgyRH8;AnNis;Elgy RH8;Sports;Nissan;GT-R;Greenwich Parkway
Nissan;Sports;3655 Wild Oats Dr;ElegyRetroCustom;Annis;Elegy Retro Custom;Sports;Nissan;Skyline GT-R;3655 Wild Oats Dr
Oldsmobile;Muscle;Nightclub lvl 3;SabreTurboCustom;Declasse;Sabre Turbo Custom;Muscle;Oldsmobile;442;Nightclub lvl 3
Plymouth;Muscle;Nightclub lvl 3;Diviant;Schyster;Diviant;Muscle;Plymouth;Barracuda;Nightclub lvl 3
Plymouth;Sedan;4401 ProCopio Dr;Regina;Dundreary;Regina;Sedan;Plymouth;Fury Suburdan;4401 ProCopio Dr
Pontiac;Muscle;Nightclub lvl 3;Phoenix;Imponte;Phoenix;Muscle;Pontiac;Firebird;Nightclub lvl 3
Porsche;Sports;Office 1C;CometRetro;Pfister;Comet Retro;Sports;Porsche;911S;Office 1C
Porsche;Sports;Office 1C;Comet;Pfister;Comet;Sports;Porsche;996 GT2;Office 1C
SMG;Off-Road;Penthouse;DesertRaid;Vapid;Desert Raid;Off-Road;SMG;Red Bull Dakar Buggy;Penthouse
Subaru;Sports;Greenwich Parkway;SultanClassic;Karin;Sultan Classic;Sports;Subaru;Impreza;Greenwich Parkway
Toyota;Sports;3 Alta str;Futo;Karin;Futo;Sports;Toyota;Corrola;3 Alta str
Toyota;Sports;3655 Wild Oats Dr;JesterClassic;Dinka;Jester Classic;Sports;Toyota;Supra;3655 Wild Oats Dr
Toyota;SUV;3 Alta str;Contender;Vapid;Contender;SUV;Toyota;Tundra Devolro Diablo 2nd Gen;3 Alta str
Toyota;Off-Road;3 Alta str;Everon;Karin;Everon;Off-Road;Toyota;Hilux Arctic Truck;3 Alta str
Toyota;Off-Road;4401 ProCopio Dr;RustyRebel;Karin;Rusty Rebel;Off-Road;Toyota;Hilux Xtra Cab;4401 ProCopio Dr
Volkswagen;Compacts;4401 ProCopio Dr;citigolf;BF;Club;Compacts;Volkswagen;Golf MK1;4401 ProCopio Dr
Volkswagen;Van;Arcade;surfer;BF;Surfer;Van;Volkswagen;Type 2;Arcade
Yamaha;Off-Road;Unit 2 Popular St;Blazer;Nagasaki;Blazer;Off-Road;Yamaha;YFZ450;Unit 2 Popular St
Ducati;Motorcycles;Exceptional Way;Nemisis;Principe;Nemesis;Motorcycles;Ducati;Monster;Exceptional Way
Ducati;Motorcycles;Exceptional Way;Ruffian;Pegassi;Ruffian;Motorcycles;Ducati;Monster 1100 Evo;Exceptional Way
Ducati;Motorcycles;Exceptional Way;Bati801;Pegassi;Bati 801;Motorcycles;Ducati;1199;Exceptional Way
Ducati;Motorcycles;Exceptional Way;Bati801RR;Pegassi;Bati 801 RR;Motorcycles;Ducati;1199 (Racer);Exceptional Way
Ducati;Motorcycles;Exceptional Way;Vortex;Pegassi;Vortex;Motorcycles;Ducati;1199 Panigale;Exceptional Way
Exile;Motorcycles;Clubhouse;ZombieChopper;Western;Zombie Chopper;Motorcycles;Exile;Hod Rod;Clubhouse
Gibbs;Motorcycles;IE Basement;BlazerAqua;Nagasaki;Blazer Aqua;Motorcycles;Gibbs;Quadski;IE Basement
Harley Davidson;Motorcycles;Clubhouse;Daemon;Western;Daemon;Motorcycles;Harley Davidson;FXSTC Softail;Clubhouse
Harley Davidson;Motorcycles;Clubhouse;ratbike;Western;Rat Bike;Motorcycles;Harley Davidson;KKF 14;Clubhouse
Honda;Motorcycles;4401 ProCopio Dr;cbr125;Dinka;Double T;Motorcycles;Honda;CBR 1000RR;4401 ProCopio Dr
Honda;Motorcycles;Exceptional Way;doubletRed;Dinka;Double T;Motorcycles;Honda;CBR 1000RR;Exceptional Way
Honda;Motorcycles;Unit 2 Popular St;Enduro;Dinka;Enduro;Motorcycles;Honda;CB250;Unit 2 Popular St
Lotus;Motorcycles;Arcade;Shotaro;Nagasaki;Shotaro;Motorcycles;Lotus;C-01 (Tron);Arcade
Mountain Moto;Motorcycles;Unit 2 Popular St;Manshez;Maibatsu;Manchez;Motorcycles;Mountain Moto;FX5;Unit 2 Popular St
Orange County Choppers;Motorcycles;Clubhouse;Sanctus;Liberty City Cycles;Sanctus;Motorcycles;Orange County Choppers;Black Widow;Clubhouse
Piaggio;Motorcycles;Exceptional Way;Fagio;Pegassi;Fagio;Motorcycles;Piaggio;Vespa;Exceptional Way
Rocket;Motorcycles;Clubhouse;RampantRocket;Western;Rampant Rocket;Motorcycles;Rocket;II Trike;Clubhouse
Suzuki;Motorcycles;Exceptional Way;Hackuchu;Shitzu;Hakuchou;Motorcycles;Suzuki;Hayabusa;Exceptional Way
Suzuki;Motorcycles;Exceptional Way;HakuchouDrag;Shitzu;Hakuchou Drag;Motorcycles;Suzuki;Hayabusa Custom;Exceptional Way
West Coast Choppers;Motorcycles;Clubhouse;Hexer;Liberty City Cycles;Hexer;Motorcycles;West Coast Choppers;CFL;Clubhouse
Yamaha;Motorcycles;4401 ProCopio Dr;YZ450F;Maibatsu;Sanchez;Motorcycles;Yamaha;YZ450F;4401 ProCopio Dr
Yamaha;Motorcycles;Unit 2 Popular St;SanchezLivery;Maibatsu;Sanchez (Livery);Motorcycles;Yamaha;YZ450F;Unit 2 Popular St
Yamaha;Motorcycles;Arcade;HotRod;Nagasaki;Hot Rod;Motorcycles;Yamaha;YFZ450 Custom;Arcade
Bentley;Utility;Nightclub lvl 4;ParagonRArmored;Enus;Paragon R (Armored);Utility;Bentley;Continental GT;Nightclub lvl 4
HDT;Utility;Facility;Barrage;HVY;Barrage;Utility;HDT;Storm SRTV;Facility
Lotus;Utility;Facility;Ardent;Ocelot;Ardent;Utility;Lotus;Espirit;Facility
Mitsubishi;Utility;Nightclub lvl 4;KurumaArored;Karin;Kuruma (Arored);Utility;Mitsubishi;Lancer Evo X;Nightclub lvl 4
Paramount Group;Utility;Facility;Insurgent;HVY;Insurgent;Utility;Paramount Group;Marauder;Facility
Volkswagen;Utility;Facility;FAV;BF;Dune FAV;Utility;Volkswagen;Desert Patrol Vehicle;Facility
Mercedes-Benz;Utility;Nightclub;terrorbyte;Benefactor;Terrorbyte;Utility;Mercedes-Benz;Zetros 6x6 Expedition Vehicle;Nightclub
Peterbilt;Utility;Bunker;MOC;Pegasus;MOC;Utility;Peterbilt;359 EXHD;Bunker
OBRUM;Utility;Facility;Khanjali;Pegasus;TM-02 Khanjali;Utility;OBRUM;PL-01;Facility
BMW;Utility;Nightclub;mk2;Pegassi;Oppressor Mk II;Utility;BMW;Hover Bike Conecpt;Nightclub
DeLorean;Utility;Facility;Deluxo;Imponte;Deluxo;Utility;DeLorean;DMC-12;Facility
Ferrari;Utility;Facility;Stromberg;Ocelot;Stromberg;Utility;Ferrari;Berlinetta Boxer;Facility
Martin Jetpack;Utility;Facility;Thruster;Mammoth;Thruster;Utility;Martin Jetpack;P12;Facility
Nissian;Utility;Arena;ZR380;Annis;Appocolype ZR380;Utility;Nissian;350Z Custom;Arena